scaffold_smiles
O=S1(=O)CCCc2ccsc21
O=C(CNC(=O)CNC(=O)Cc1ccc(CCCCn2ccnc2)cc1)NCCC1CCCCC1
O=c1[nH]c(=O)n(C/C=C(\c2ccccc2)c2cccc(OCc3coc(-c4ccccc4)n3)c2)o1
O=C1C=C([C@H]2CCC3C4CCC5CC(OC6CCCCO6)CCC5C4CCC32)CO1
O=C(C1CC2C=CC1C2)N1CCN(c2ncc3ccccc3n2)CC1
c1ccc2sccc2c1
c1ccc(CSc2cncc3sccc23)cc1
O=C(C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1)c1ccccc1
O=C1C=C[C@H]2OC3C[C@H]4O[C@H]5CCC6OC7C[C@H]8O[C@H]9C[C@H]%10OC%11CCCO[C@@H]%11C[C@@H]%10O[C@@H]9/C=C\CC8O[C@@H]7C[C@@H]6O[C@@H]5CC[C@@H]4O[C@@H]3C[C@@H]2O1
N=c1[nH]ncs1
O=C(NCCCN1CCOCC1)c1cc2c(Sc3ccccc3)cncc2s1
O=S(=O)(Nc1ccccc1)c1cccc2ccccc12
O=C1CC[C@H](/C=C/CCCCC2CCCCC2)C1
c1ccc([SH+]c2cccc3ncncc23)cc1
O=C1C=C([C@H]2CCC3C4CCC5CC(OC6CCCOC6)CCC5C4CCC32)CO1
c1ccc(-c2nc3n(c2-c2ccc4c(c2)OCO4)CCC3)nc1
O=C1NC(=O)/C(=C/c2ccc(OCCNCC3CCc4cc(OCc5ccccc5)ccc4O3)cc2)S1
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3OC1CCCCO1
O=S(=O)(NCCc1ccccc1)c1ccccc1
c1ccc2c(c1)OCO2
O=C(NN1Cc2ccccc2C1)c1ccccc1
c1ccc(NCc2ccc3ncncc3c2)cc1
O=C1C[C@@H]2N1C=CCS2(=O)=O
C(=C(c1ccccc1)c1ccc(OCCCCN2CCCC2)cc1)c1ccccc1
C1=Cc2ccccc2OC1
O=C(NNC(=O)[C@H]1CCCN1)Oc1ccccc1
O=C(C1CCCCN1)N1CCN(Cc2ccccn2)CC1
O=S(=O)(c1ccc2ccccc2c1)c1ccc2ncncc2c1
O=C(C1=CC2C=CC1CC2)N1CCN(c2ncc3ccccc3n2)CC1
C1=CCNCC1
C1=C2CC[C@H]3COC[C@@]2(C3)C2CCC3C(CC[C@@H]3OC3CC3)C2C1
C(=C(c1ccccc1)c1ccc(OCCCCCCCCCCN2CCCC2)cc1)c1ccccc1
O=S(=O)(Nc1ccc(-c2cccnn2)cc1)c1ccccc1
O=S(=O)(Nc1cnccn1)c1cccc2ccccc12
O=C(NCC1CC1)C1CCN(c2ncc3ccccc3n2)CC1
O=S(=O)(Nc1ccno1)c1cccc2ccccc12
C(=N/Oc1ccccc1)\c1cc2c(Sc3ccccc3)cncc2s1
O=C(NCc1nccs1)c1ccc(NCc2ccc3ncncc3c2)cc1
C(=C/c1ccccc1)\c1ccccc1
C=C1C(=O)N2C=C(COC(=O)N[C@@H]3CCOC(O[C@H]4CCCc5cc6c(cc54)C(=O)c4ccccc4C6=O)C3)CS(=O)(=O)[C@@H]12
c1ccc(Cn2cnc3c(NC4CCCC4)ncnc32)cc1
O=c1ccc2cc3c(cc2o1)NCC=C3
c1ccc(-c2cccnn2)cc1
c1ccc2ccccc2c1
O=C1NC(=O)C(Cc2ccc(OCC3CCc4ccccc4O3)cc2)S1
O=C(Cc1ccc(CCCCn2ccnc2)cc1)NCCc1ccc(OCCC2CCCCC2)cc1
O=c1ccn(CC2CC2)c2cc(N3CCCC3)ccc12
c1ccc(C[SH+]CC2CC2)cc1
O=C1CCCC1
c1ccc2c(c1)Cc1ccccc1N1CCNCC21
c1ccc2c(c1)ccc[n+]2Cc1ccc2c(c1)Cc1cc(C[n+]3cccc4ccccc43)ccc1-2
O=C(CCc1ccccc1)NCCc1ccccc1
C1CCNC1
c1ccc2c(c1)CCCC2
O=S(=O)(Nc1ncccn1)c1cccc2ccccc12
c1ccc(C2CNCc3ccccc32)cc1
O=C1OC2(C(=O)O[C@H]3COc4ccc5cccnc5c4[C@H]3OC(=O)C34CCC(C3)C(=O)O4)CCC1C2
c1ccc2c3c([nH]c2c1)C1=NCCN1CC3
O=C(C(=O)N1CCCCC1C(=O)OCCCc1cccnc1)c1ccccc1
O=C1Nc2ccccc2C12SCCS2
O=C1CN=C(c2ccccc2)c2ccccc2N1
O=C(CCc1ccccc1)N1CCN(c2ncc3ccccc3n2)CC1
C1C[C@H]2OCC[C@H]2O1
O=C1N(Cc2ccccc2)c2ccccc2C12OCCO2
c1ccc(COc2noc3c2CNCC3)cc1
